run	f1	recall	precision	specifity	runtime	Gesamtanzahl Artikel	Anteil Artikel in Test.tsv zu ges.	Gesamtanzahl Sätze	 Anteil Sätze in Test.tsv zu ges.	Gesamtanzahl Interactions	Anteil Interactions in Test.tsv zu ges.	Gesamtes 0/1 Verhältnis	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.825	0.899	0.762	0.685	0h 35min 43sek	1806	0.6002	2611	0.6055	5549	0.5947	0.8952	0.8922	0.8995	0.9919
DS-10	0.809	0.804	0.814	0.794	0h 35min 8sek	1806	0.6002	2611	0.5975	5549	0.6039	0.8952	0.8932	0.8981	0.9946
DS-2	0.82	0.849	0.793	0.752	0h 35min 12sek	1806	0.6002	2611	0.5994	5549	0.6006	0.8952	0.8948	0.8956	0.9991
DS-3	0.822	0.86	0.787	0.74	0h 35min 47sek	1806	0.6002	2611	0.5975	5549	0.5961	0.8952	0.8979	0.8911	1.0076
DS-4	0.822	0.87	0.78	0.726	0h 35min 58sek	1806	0.6002	2611	0.6032	5549	0.5952	0.8952	0.8961	0.8938	1.0026
DS-5	0.81	0.817	0.804	0.777	0h 5min 53sek	1806	0.6002	2611	0.599	5549	0.5954	0.8952	0.8934	0.8977	0.9952
DS-6	0.818	0.799	0.838	0.827	0h 35min 20sek	1806	0.6002	2611	0.6017	5549	0.5983	0.8952	0.8917	0.9003	0.9905
DS-7	0.815	0.87	0.766	0.703	0h 35min 13sek	1806	0.6002	2611	0.6017	5549	0.6001	0.8952	0.8964	0.8933	1.0034
DS-8	0.813	0.8	0.827	0.813	0h 35min 2sek	1806	0.6002	2611	0.6055	5549	0.6015	0.8952	0.8944	0.8962	0.998
DS-9	0.825	0.87	0.784	0.731	0h 35min 26sek	1806	0.6002	2611	0.5959	5549	0.5976	0.8952	0.8938	0.8972	0.9962
Mittelwert	0.818	0.844	0.795	0.755	0h 32min 28sek	1806	0.6002	2611	0.6007	5549	0.5983	0.8952	0.8944	0.8963	0.9979
Standardabweichung:	0.006	0.036	0.025	0.047	0h 9min 21sek	0.0	0.0	0.0	0.0034	0.0	0.0031	0.0	0.002	0.0029	0.0054
