run	f1	recall	precision	specifity	runtime	anzahl rel in test.tsv	davon anzahl der abstracts	anzahl rel in train.tsv	 davon anzahl der abstracts	gesamtanzahl rel	gesamtanzahl Abstracts	anteil test rel an rel ges	1/0 Verhältnis test.tsv	1/0 Verhältnis train.tsv	1/0 Verhältnis test/train.tsv
DS-1	0.807	0.829	0.787	0.749	0h 30min 8sek	3887	1828.0	1660.0	783.0	5547.0	2611.0	0.701	0.894	0.895	0.999
DS-10	0.821	0.897	0.756	0.677	0h 30min 15sek	3860	1828.0	1687.0	783.0	5547.0	2611.0	0.696	0.894	0.896	0.998
DS-2	0.823	0.865	0.784	0.735	0h 29min 38sek	3895	1828.0	1652.0	783.0	5547.0	2611.0	0.702	0.896	0.892	1.004
DS-3	0.815	0.809	0.821	0.803	0h 29min 43sek	3897	1828.0	1650.0	783.0	5547.0	2611.0	0.703	0.893	0.899	0.993
DS-4	0.812	0.865	0.766	0.703	0h 29min 57sek	3882	1828.0	1665.0	783.0	5547.0	2611.0	0.7	0.893	0.901	0.991
DS-5	0.808	0.824	0.792	0.759	0h 30min 11sek	3853	1828.0	1694.0	783.0	5547.0	2611.0	0.695	0.895	0.893	1.003
DS-6	0.8	0.802	0.797	0.772	0h 29min 29sek	3917	1828.0	1630.0	783.0	5547.0	2611.0	0.706	0.894	0.898	0.996
DS-7	0.812	0.889	0.748	0.665	0h 30min 14sek	3854	1828.0	1693.0	783.0	5547.0	2611.0	0.695	0.893	0.9	0.992
DS-8	0.838	0.879	0.801	0.756	0h 29min 46sek	3888	1828.0	1659.0	783.0	5547.0	2611.0	0.701	0.894	0.9	0.993
DS-9	0.832	0.874	0.794	0.746	0h 30min 14sek	3857	1828.0	1690.0	783.0	5547.0	2611.0	0.695	0.893	0.897	0.996
Mittelwert	0.817	0.853	0.785	0.737	0h 29min 58sek	3879	1828.0	1668.0	783.0	5547.0	2611.0	0.6994	0.8939	0.8971	0.9965
Standardabweichung:	0.012	0.034	0.022	0.043	0h 0min 17sek	21.919	0.0	21.919	0.0	0.0	0.0	0.0039	0.001	0.0031	0.0045
